id,name,category,latitude,longitude,description,eco_score,budget_level,tags,image_url
3,Old Goa Churches,heritage,15.5007,73.9114,UNESCO World Heritage Site with baroque churches,8,low,"heritage,history,architecture",
4,Anjuna Beach,beach,15.5819,73.7431,Iconic rocky beach known for its flea market and trance parties,6,medium,"beach,party,flea market",
5,Calangute Beach,beach,15.5414,73.7554,"The 'Queen of Beaches', highly commercialized and lively",3,medium,"beach,shacks,throngs",
6,Palolem Beach,beach,15.0099,74.0232,Scenic crescent-shaped beach lined with leaning palm trees,8,low,"beach,relaxing,south goa",
7,Arambol Beach,beach,15.6847,73.7025,Bohemian vibe beach with drum circles and alternative culture,7,low,"beach,hippie vibe,culture",
8,Chapora Fort,heritage,15.6052,73.7378,Historic hill fort offering majestic views of the Arabian Sea (Dil Chahta Hai fort),7,low,"heritage,sunset,views",
9,Spice Plantation,nature,15.4057,74.0041,Guided tours through lush aromatic spice farms with authentic Goan lunch,9,high,"nature,food,cultural",
10,Colva Beach,beach,15.2801,73.9161,Expansive white sand beach popular among domestic tourists in South Goa,5,medium,"beach,family,water sports",
11,Vagator Beach,beach,15.5973,73.7337,Red cliff beach split into 'Big Vagator' and 'Little Vagator',6,medium,"beach,sunsets,party",
12,Panaji Market,food,15.4989,73.8278,"Bustling local market selling cashews, spices, port wine, and Goan sweets",5,medium,"food,shopping,local",
13,Grand Island,adventure,15.3503,73.7788,Premiere destination for scuba diving and snorkeling in Goa,6,high,"adventure,scuba,island",
14,Butterfly Beach,nature,15.0142,74.0016,"Secluded cove accessible mainly by boat, famous for butterfly spotting",9,low,"nature,secluded,hidden gem",
15,Divar Island,heritage,15.5233,73.9135,Sleepy river island giving a glimpse of old-world traditional Goa,9,medium,"heritage,village,scenic",
